date,homeTeam,awayTeam,homeScore,awayScore,elo_home_before,elo_away_before,expected_home,expected_away,result_home,result_away,G,elo_home_after,elo_away_after
21/09/2025,Yellow-Red KV.Mechelen A,Cercle Brugge K.SV. A,0,0,1523.01,1499.04,0.5344,0.4656,0.5,0.5,1.0,1521.98,1500.07
21/09/2025,Club Brugge KV. A,K.St.-Truidense VV. A,2,0,1515.21,1541.56,0.4622,0.5378,1.0,0.0,1.625,1541.43,1515.34
21/09/2025,K.RC.Genk A,R.Union St.-Gilloise A,1,2,1487.17,1596.41,0.3478,0.6522,0.0,1.0,1.0,1476.74,1606.84
21/09/2025,K.VC.Westerlo A,R.Standard de Liège A,0,2,1519.55,1468.74,0.5726,0.4274,0.0,1.0,1.625,1491.64,1496.65
23/09/2025,R.SC.Anderlecht A,K.AA.Gent A,1,0,1525.1,1517.88,0.5104,0.4896,1.0,0.0,1.0,1539.78,1503.19
24/09/2025,Club Brugge KV. A,K.VC.Westerlo A,5,5,1541.43,1491.64,0.5712,0.4288,0.5,0.5,1.0,1539.3,1493.77
26/09/2025,Oud-Heverlee Leuven A,R.SC.Anderlecht A,1,1,1426.84,1539.78,0.343,0.657,0.5,0.5,1.0,1431.55,1535.07
27/09/2025,SV.Zulte Waregem A,R.Antwerp F.C. A,2,0,1489.17,1491.19,0.4971,0.5029,1.0,0.0,1.625,1513.69,1466.68
27/09/2025,R.Standard de Liège A,Club Brugge KV. A,1,2,1496.65,1539.3,0.4389,0.5611,0.0,1.0,1.0,1483.48,1552.46
27/09/2025,R.Union St.-Gilloise A,K.VC.Westerlo A,2,0,1606.84,1493.77,0.6572,0.3428,1.0,0.0,1.625,1623.55,1477.06
28/09/2025,K.St.-Truidense VV. A,K.RC.Genk A,1,2,1515.34,1476.74,0.5553,0.4447,0.0,1.0,1.0,1498.68,1493.4
28/09/2025,Cercle Brugge K.SV. A,K.AA.Gent A,2,4,1500.07,1503.19,0.4955,0.5045,0.0,1.0,1.625,1475.92,1527.35
28/09/2025,SP du Pays de Charleroi A,Yellow-Red KV.Mechelen A,0,2,1518.8,1521.98,0.4954,0.5046,0.0,1.0,1.625,1494.65,1546.13
28/09/2025,FC.V.Dender E.H.,RAAL La Louviere A,0,0,1392.06,1488.27,0.365,0.635,0.5,0.5,1.0,1396.12,1484.22
03/10/2025,K.AA.Gent A,SP du Pays de Charleroi A,2,1,1527.35,1494.65,0.5469,0.4531,1.0,0.0,1.0,1540.94,1481.06
04/10/2025,R.Antwerp F.C. A,Cercle Brugge K.SV. A,1,1,1466.68,1475.92,0.4867,0.5133,0.5,0.5,1.0,1467.08,1475.52
04/10/2025,RAAL La Louviere A,SV.Zulte Waregem A,0,0,1484.22,1513.69,0.4577,0.5423,0.5,0.5,1.0,1485.49,1512.42
04/10/2025,Yellow-Red KV.Mechelen A,K.St.-Truidense VV. A,1,3,1546.13,1498.68,0.5679,0.4321,0.0,1.0,1.625,1518.45,1526.36
05/10/2025,R.SC.Anderlecht A,R.Standard de Liège A,1,0,1535.07,1483.48,0.5737,0.4263,1.0,0.0,1.0,1547.86,1470.69
05/10/2025,K.RC.Genk A,FC.V.Dender E.H.,2,1,1493.4,1396.12,0.6364,0.3636,1.0,0.0,1.0,1504.3,1385.21
05/10/2025,Club Brugge KV. A,R.Union St.-Gilloise A,1,0,1552.46,1623.55,0.3991,0.6009,1.0,0.0,1.0,1570.49,1605.53
05/10/2025,K.VC.Westerlo A,Oud-Heverlee Leuven A,2,0,1477.06,1431.55,0.5651,0.4349,1.0,0.0,1.625,1498.26,1410.35
18/10/2025,RAAL La Louviere A,K.VC.Westerlo A,0,0,1485.49,1498.26,0.4816,0.5184,0.5,0.5,1.0,1486.04,1497.71
18/10/2025,Oud-Heverlee Leuven A,Club Brugge KV. A,0,1,1410.35,1570.49,0.2846,0.7154,0.0,1.0,1.0,1401.81,1579.03
18/10/2025,R.Union St.-Gilloise A,SP du Pays de Charleroi A,3,1,1605.53,1481.06,0.6718,0.3282,1.0,0.0,1.625,1621.53,1465.06
19/10/2025,Cercle Brugge K.SV. A,K.RC.Genk A,2,2,1475.52,1504.3,0.4587,0.5413,0.5,0.5,1.0,1476.76,1503.06
19/10/2025,FC.V.Dender E.H.,Yellow-Red KV.Mechelen A,1,3,1385.21,1518.45,0.3171,0.6829,0.0,1.0,1.625,1369.75,1533.91
19/10/2025,K.St.-Truidense VV. A,R.SC.Anderlecht A,2,2,1526.36,1547.86,0.4691,0.5309,0.5,0.5,1.0,1527.29,1546.93
19/10/2025,SV.Zulte Waregem A,K.AA.Gent A,4,1,1512.42,1540.94,0.459,0.541,1.0,0.0,1.75,1540.82,1512.54
20/10/2025,R.Standard de Liège A,R.Antwerp F.C. A,1,0,1470.69,1467.08,0.5052,0.4948,1.0,0.0,1.0,1485.54,1452.23
